representation,target,test_subject,n_model_seeds,accuracy,balanced_accuracy,macro_f1
first_fixation,content_function,YIS,5,0.5468348623853211,0.5764442433272803,0.4832862347595988
first_fixation,content_function,YLS,5,0.6042563366810139,0.5285787706816023,0.5136744053376706
first_fixation,content_function,YMD,5,0.4802696807455879,0.536724918776591,0.4688877614631271
first_fixation,content_function,YMS,5,0.5451082251082251,0.5394276262299476,0.4989324106541032
first_fixation,content_function,YRH,5,0.5040022081148219,0.536550319197542,0.47353835799958643
first_fixation,content_function,YRK,5,0.3951270741440874,0.5418073752884044,0.3900641759533732
first_fixation,content_function,YRP,5,0.5478241160471441,0.5153058832076733,0.4974721801309344
first_fixation,content_function,YSD,5,0.6136462407648848,0.5713751844823951,0.5341847441592714
first_fixation,content_function,YSL,5,0.5971851851851852,0.5240025429845154,0.5133928588557419
first_fixation,content_function,YTL,5,0.5635446965289896,0.5459884212091006,0.524225746118419
