target,test_subject,loss_rate,n_removed_channels,actual_removed_fraction,n_model_seeds,masks_per_subject_per_model_seed,accuracy,balanced_accuracy,macro_f1
coarse_pos,YLS,0.1,10,0.09523809523809523,5,20,0.2671018651362984,0.23768853012343866,0.21191199006244835
coarse_pos,YLS,0.25,26,0.24761904761904763,5,20,0.2721616451458632,0.23726405579836424,0.20955599143588904
coarse_pos,YLS,0.5,52,0.49523809523809526,5,20,0.2755380200860832,0.23452668574016405,0.20113138093443145
coarse_pos,YMD,0.0,0,0.0,5,1,0.3134245488796351,0.2539370788651605,0.21247415984592144
coarse_pos,YMD,0.1,10,0.09523809523809523,5,20,0.31414832441007345,0.2533330601704293,0.20947858784933598
coarse_pos,YMD,0.25,26,0.24761904761904763,5,20,0.3121752924846321,0.24944222292349197,0.2009147876265931
coarse_pos,YMD,0.5,52,0.49523809523809526,5,20,0.30780884394209795,0.23890790064489678,0.17826060224387702
coarse_pos,YMS,0.0,0,0.0,5,1,0.27303030303030307,0.24893740038623074,0.2008842759999923
coarse_pos,YMS,0.1,10,0.09523809523809523,5,20,0.2738051948051948,0.24780277371921478,0.19808279222468905
coarse_pos,YMS,0.25,26,0.24761904761904763,5,20,0.27770346320346323,0.2467811652900178,0.19383525500629306
coarse_pos,YMS,0.5,52,0.49523809523809526,5,20,0.27679437229437226,0.23843844574925535,0.1774368105729979
coarse_pos,YRH,0.0,0,0.0,5,1,0.2664642561413194,0.22324950699930812,0.1780680592551227
coarse_pos,YRH,0.1,10,0.09523809523809523,5,20,0.2665166988683411,0.22250972055007995,0.1748687187725864
coarse_pos,YRH,0.25,26,0.24761904761904763,5,20,0.2676704388628209,0.2214786266063562,0.1741219718889776
coarse_pos,YRH,0.5,52,0.49523809523809526,5,20,0.264943417057687,0.21932156518269594,0.16207723577088246
coarse_pos,YRK,0.0,0,0.0,5,1,0.29960092417559336,0.24035055022563948,0.1838468574313271
coarse_pos,YRK,0.1,10,0.09523809523809523,5,20,0.2972715816005041,0.23786587088781047,0.17733133697807882
coarse_pos,YRK,0.25,26,0.24761904761904763,5,20,0.2897101449275362,0.23116871844170114,0.1604723325108786
coarse_pos,YRK,0.5,52,0.49523809523809526,5,20,0.27572568788069735,0.21762060086662477,0.1291137745772789
coarse_pos,YRP,0.0,0,0.0,5,1,0.2539891205802357,0.22936335734882682,0.21053337483248366
coarse_pos,YRP,0.1,10,0.09523809523809523,5,20,0.2597960108794197,0.2333859923434216,0.21215333672649983
coarse_pos,YRP,0.25,26,0.24761904761904763,5,20,0.2689755213055304,0.23537757677158194,0.21164193665771283
coarse_pos,YRP,0.5,52,0.49523809523809526,5,20,0.2755099728014506,0.23522007038494283,0.19680957939976063
coarse_pos,YSD,0.0,0,0.0,5,1,0.282877009995654,0.2510204458605364,0.20981124302317816
coarse_pos,YSD,0.1,10,0.09523809523809523,5,20,0.281006084311169,0.2482659486875262,0.20616947018981685
coarse_pos,YSD,0.25,26,0.24761904761904763,5,20,0.2782877009995654,0.2447365022348414,0.19843028093773069
coarse_pos,YSD,0.5,52,0.49523809523809526,5,20,0.2707996523250761,0.23809011046011133,0.18193471014572313
coarse_pos,YSL,0.0,0,0.0,5,1,0.28285185185185185,0.2400910715346963,0.210761900525334
coarse_pos,YSL,0.1,10,0.09523809523809523,5,20,0.29067592592592595,0.2415915238765026,0.21183500051654244
coarse_pos,YSL,0.25,26,0.24761904761904763,5,20,0.3014759259259259,0.24276872757324588,0.21192275583884784
coarse_pos,YSL,0.5,52,0.49523809523809526,5,20,0.32152777777777775,0.24021542418648578,0.20070191286120537
coarse_pos,YTL,0.0,0,0.0,5,1,0.3202637192165988,0.24559693544111952,0.23174577178204311
coarse_pos,YTL,0.1,10,0.09523809523809523,5,20,0.3216947837890246,0.24532898442857282,0.2285512821857579
coarse_pos,YTL,0.25,26,0.24761904761904763,5,20,0.3266550319953461,0.2465092629989869,0.22542743985549257
coarse_pos,YTL,0.5,52,0.49523809523809526,5,20,0.32471010277293,0.2399638413643323,0.20335535158446333
content_function,YAC,0.0,0,0.0,5,1,0.305019556714472,0.5517342793906088,0.30290789361746395
content_function,YAC,0.1,10,0.09523809523809523,5,20,0.3076629726205997,0.5520602898767616,0.305121780395751
content_function,YAC,0.25,26,0.24761904761904763,5,20,0.3070664928292047,0.5503335042633466,0.3038729590970101
content_function,YAC,0.5,52,0.49523809523809526,5,20,0.2965710560625815,0.5465732273713971,0.2925024189760717
content_function,YAG,0.0,0,0.0,5,1,0.5790449325005038,0.5893162386007678,0.5485505552388112
content_function,YAG,0.1,10,0.09523809523809523,5,20,0.566060850292162,0.5878918954326058,0.5399669015785012
content_function,YAG,0.25,26,0.24761904761904763,5,20,0.5513741688494862,0.5849309370181434,0.5290813048369329
content_function,YAG,0.5,52,0.49523809523809526,5,20,0.4883376989723957,0.5703745444074073,0.4773630353086881
content_function,YAK,0.0,0,0.0,5,1,0.4613733905579399,0.5813093453273364,0.4506216726890096
content_function,YAK,0.1,10,0.09523809523809523,5,20,0.45397711015736764,0.5792648342495419,0.44431882965157216
content_function,YAK,0.25,26,0.24761904761904763,5,20,0.43897711015736773,0.5744557054805929,0.4318025085465467
content_function,YAK,0.5,52,0.49523809523809526,5,20,0.38678469241773966,0.5601052695874285,0.38027959570008807
content_function,YDG,0.0,0,0.0,5,1,0.6648888888888889,0.598974549234254,0.5658120860934244
content_function,YDG,0.1,10,0.09523809523809523,5,20,0.6546592592592593,0.5983303830532507,0.5599353988112181
content_function,YDG,0.25,26,0.24761904761904763,5,20,0.6321061728395063,0.6000852376846773,0.5509113612489995
content_function,YDG,0.5,52,0.49523809523809526,5,20,0.5800617283950618,0.5940052173769368,0.5175521612973977
content_function,YDR,0.0,0,0.0,5,1,0.498282770463652,0.5807574315611699,0.4853640868430917
content_function,YDR,0.1,10,0.09523809523809523,5,20,0.4850829994275901,0.5782576700558009,0.4745159142559747
